Date,Name,Year,Letterboxd URI
2019-02-12,Inferno,1980,https://boxd.it/1KbK
2019-02-12,The Virgin Suicides,1999,https://boxd.it/28JG
2019-02-12,Pet Sematary,1989,https://boxd.it/1ZBy
2021-06-22,Synchronic,2019,https://boxd.it/k3M2
2021-06-26,Dachra,2018,https://boxd.it/jGt2
2021-06-26,Bones and All,2022,https://boxd.it/tLd4
2021-07-14,Ode to Nothing,2018,https://boxd.it/kg5K
2021-07-15,Roadrunner: A Film About Anthony Bourdain,2021,https://boxd.it/nRb2
2021-07-27,Jigsaw,2017,https://boxd.it/9sDs
2021-07-30,Come True,2020,https://boxd.it/iG90
2021-08-01,Sator,2019,https://boxd.it/mBeC
2021-08-01,Candyman,2021,https://boxd.it/kHFg
2021-08-01,The Green Knight,2021,https://boxd.it/kuy2
2021-08-03,Ichi the Killer,2001,https://boxd.it/1Y1O
2021-08-04,Antiviral,2012,https://boxd.it/475Y
2021-08-04,Jacob's Ladder,1990,https://boxd.it/270g
2021-08-05,The Neon Demon,2016,https://boxd.it/9AnW
2021-08-06,Splinter,2008,https://boxd.it/1QA2
2021-08-06,Mandy,2018,https://boxd.it/gtti
2021-08-06,The House That Jack Built,2018,https://boxd.it/dWO4
2021-08-06,Luz,2018,https://boxd.it/hY6G
2021-08-12,Unhinged,1982,https://boxd.it/v1o
2021-08-16,A Ghost Story,2017,https://boxd.it/fb0K
2021-08-19,Eden Lake,2008,https://boxd.it/1Q1m
2021-08-21,The Feast,2021,https://boxd.it/tVpO
2021-08-25,The Deeper You Dig,2019,https://boxd.it/mBda
2021-09-01,Under the Shadow,2016,https://boxd.it/d1uG
2021-09-22,Violation,2020,https://boxd.it/rk2O
2021-09-25,Forgotten,2017,https://boxd.it/hAJE
2021-09-25,32 Malasana Street,2020,https://boxd.it/nJvI
2021-10-04,Eyes Without a Face,1960,https://boxd.it/1j9i
2021-11-04,Belzebuth,2017,https://boxd.it/cWZk
2021-11-14,Harakiri,1962,https://boxd.it/1NTU
2021-11-16,Drag Me to Hell,2009,https://boxd.it/1Jzw
2021-11-23,Amélie,2001,https://boxd.it/2aUc
2021-11-23,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2021-11-23,Brokeback Mountain,2005,https://boxd.it/2b2q
2021-11-24,The Face of Another,1966,https://boxd.it/1nso
2021-11-24,Black Christmas,1974,https://boxd.it/1Js6
2021-11-24,Scream,1996,https://boxd.it/24EC
2021-11-24,Woman in the Dunes,1964,https://boxd.it/1JNS
2021-12-12,The Endless,2017,https://boxd.it/ffyw
2021-12-27,Beanie Mania,2021,https://boxd.it/ywpY
2021-12-28,Midnight,2021,https://boxd.it/nhSO
2021-12-28,She Will,2021,https://boxd.it/waRi
2021-12-28,Dawn Breaks Behind the Eyes,2021,https://boxd.it/jdj8
2021-12-28,The Sadness,2021,https://boxd.it/tcHe
2021-12-28,What Josiah Saw,2021,https://boxd.it/q2ue
2021-12-28,Glasshouse,2021,https://boxd.it/wbOa
2022-01-01,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2022-01-02,Columbus,2017,https://boxd.it/eCuA
2022-01-03,Magnolia,1999,https://boxd.it/2aze
2022-01-03,Vampyr,1932,https://boxd.it/29DY
2022-01-03,Don't Worry Darling,2022,https://boxd.it/mViu
2022-01-12,History of the Occult,2020,https://boxd.it/o7Ho
2022-01-21,Lamb,2021,https://boxd.it/tFwE
2022-01-28,Clearcut,1991,https://boxd.it/3Sqi
2022-01-28,Edge of the Knife,2018,https://boxd.it/jFZG
2022-01-28,"Night Is Short, Walk on Girl",2017,https://boxd.it/ffwA
2022-02-18,The Favourite,2018,https://boxd.it/d2hI
2022-02-18,Alps,2011,https://boxd.it/2RHg
2022-02-18,Your Vice Is a Locked Room and Only I Have the Key,1972,https://boxd.it/2uT4
2022-02-21,Don't Go in the House,1979,https://boxd.it/132K
2022-02-25,Poor Things,,https://boxd.it/tNWU
2022-03-01,Stalker,1979,https://boxd.it/28PO
2022-03-01,Repulsion,1965,https://boxd.it/1TKu
2022-03-28,Boiling Point,2021,https://boxd.it/uo2u
2022-04-03,Godzilla,1954,https://boxd.it/28kc
2022-04-13,Demons,1985,https://boxd.it/1OTQ
2022-04-21,Possession,1981,https://boxd.it/1BPm
2022-04-25,Straw Dogs,1971,https://boxd.it/2982
2022-04-25,Melancholia,2011,https://boxd.it/bPI
2022-05-24,Stoker,2013,https://boxd.it/34S2
2022-06-05,Silence,2016,https://boxd.it/2cAo
2022-06-23,The House of the Devil,2009,https://boxd.it/1uIe
2022-07-16,Cure,1997,https://boxd.it/1blA
2022-07-16,Cryptic Plasm,2013,https://boxd.it/6WfY
2022-07-16,Digging Up the Marrow,2014,https://boxd.it/8AsK
2022-07-17,Dracula,1992,https://boxd.it/223a
2022-07-18,Annihilation,2018,https://boxd.it/9yzm
2022-08-08,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
2022-08-21,Orphan: First Kill,2022,https://boxd.it/sxZc
2022-08-22,Glorious,2022,https://boxd.it/zrn6
2022-08-24,A Year in Burgundy,2013,https://boxd.it/8iMC
2022-08-24,A Year in Champagne,2014,https://boxd.it/7Z3o
